ID_Item,Scenario,Country,Energy,Sector,Sub_Sector,Usage,Source,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heat Demand,CS1,GR,na,TER,Buildings,space heating,Eurostat,TWh,2.469573684,2.536557002,2.562595993,2.573534251,2.569573833,2.550837506,2.531376442,2.507641851,2.483099802,2.458178816,2.435026048,2.40729306,2.375476319,2.342733754,2.30984464,2.27656718,2.240459729,2.204258548,2.166836315,2.128637464,2.088721711,2.047440896,2.005240283,1.963078942,1.920642751,1.878045597,1.835262034,1.792563547,1.749891045,1.707254755,1.664714752
Heat Demand,CS1,HU,na,TER,Buildings,space heating,Eurostat,TWh,14.28177229,14.64401467,14.79751034,14.86968688,14.86170281,14.77406469,14.68856297,14.64166955,14.59291486,14.54956714,14.51105706,14.4700767,14.42104051,14.37265658,14.32882945,14.28065198,14.21447586,14.14443498,14.05660737,13.93983073,13.79908075,13.63876321,13.46516631,13.28179206,13.08804706,12.88416101,12.66980213,12.44837625,12.2208332,11.98851627,11.75213017
Heat Demand,CS1,IT,na,TER,Buildings,space heating,Eurostat,TWh,52.54785888,53.97091524,53.33980614,52.52607757,51.54653705,50.41223905,49.19328871,47.99581299,46.89177863,45.8328706,44.81818622,43.78810064,42.77746227,41.79688593,40.84241318,39.88562027,38.90117243,37.95314332,37.00333016,36.04705077,35.09705979,34.15340829,33.20912689,32.27058783,31.35047291,30.42948319,29.51355822,28.60657687,27.70756198,26.81670464,25.93491939
Heat Demand,CS1,LU,na,TER,Buildings,space heating,Eurostat,TWh,2.261882579,2.344370162,2.348067072,2.346854095,2.341126874,2.330993025,2.317401972,2.302680951,2.288298869,2.274195741,2.260607184,2.246059533,2.231775794,2.21834992,2.207953749,2.197109478,2.183633885,2.17046448,2.155863477,2.13997057,2.122689928,2.103502046,2.082620644,2.06054379,2.037419941,2.013117101,1.987581918,1.961016651,1.933361716,1.904674185,1.875009623
Heat Demand,CS1,NL,na,TER,Buildings,space heating,Eurostat,TWh,31.93011891,32.09020739,31.61631748,31.13337658,30.64715832,30.15907512,29.65609932,29.17406258,28.70701041,28.25855953,27.82281793,27.38874103,26.96962242,26.56904636,26.18709319,25.80002752,25.38424843,24.97937723,24.56857305,24.15250359,23.74267404,23.33024083,22.91074226,22.48976469,22.06731346,21.64134966,21.21005202,20.77340351,20.33189778,19.88614612,19.43655511
Heat Demand,CS1,NO,na,TER,Buildings,space heating,Eurostat,TWh,6.536553136,6.535871465,6.458286829,6.380739447,6.304306259,6.229179817,6.145999582,6.059394919,5.976311508,5.89716013,5.819794796,5.746382636,5.673513006,5.599132423,5.526873821,5.452683204,5.3719631,5.293095953,5.211511123,5.126424007,5.039700815,4.953256283,4.86424272,4.774629816,4.684039711,4.592274298,4.49885838,4.404866256,4.3098816,4.213721514,4.116289928
Heat Demand,CS1,PL,na,TER,Buildings,space heating,Eurostat,TWh,41.12495572,41.86364167,41.80091252,41.74088784,41.69130814,41.65434964,41.54954804,41.40377538,41.24623931,41.13752894,41.01967083,40.88956261,40.78485351,40.69525707,40.57915355,40.39863638,40.16687349,39.88914323,39.53768897,39.13313036,38.67756644,38.18168203,37.64931921,37.10332906,36.53647425,35.95718065,35.36778975,34.76671158,34.15679097,33.53984994,32.9149479
Heat Demand,CS1,PT,na,TER,Buildings,space heating,Eurostat,TWh,3.974637198,4.0525672,4.057872444,4.039671659,3.998845345,3.93610936,3.872627725,3.807446789,3.742651868,3.678699246,3.616512395,3.554117907,3.492185982,3.43028054,3.371803272,3.311856858,3.248432427,3.188255075,3.124965628,3.057806369,2.991716974,2.925778996,2.859066887,2.792306528,2.725391936,2.658432272,2.59132157,2.524384357,2.457480741,2.390642586,2.323950773
Heat Demand,CS1,RO,na,TER,Buildings,space heating,Eurostat,TWh,10.17529101,10.26159059,10.16994983,10.09936098,10.05121107,10.02566262,9.988494375,9.942324786,9.91507622,9.881449643,9.830034888,9.787335499,9.743103067,9.699536435,9.65954437,9.615364013,9.553447625,9.488301518,9.418934214,9.337427391,9.23535478,9.119829847,8.998056825,8.879140505,8.757663105,8.62224884,8.479292763,8.333523547,8.185578582,8.031729905,7.872628921
Heat Demand,CS1,SE,na,TER,Buildings,space heating,Eurostat,TWh,20.41476812,20.32622295,19.99937911,19.70664619,19.44984806,19.22825264,19.01447978,18.80850267,18.60163765,18.40514591,18.2187733,18.02341546,17.83899613,17.66650343,17.50688856,17.34384891,17.16249407,16.98998621,16.80311394,16.60279409,16.39820947,16.1849374,15.95909966,15.7252151,15.48777242,15.24441126,14.99539068,14.74161013,14.48237998,14.21771995,13.94803147
